Année,Code INSEE région,Filière,Région,Part de la consommation nationale couverte (%),part_peryear_normalized,year_prodGWh,filiere_prodGWh
2020,44,Nuclear,Grand Est,14.1,0.126570916,490068,62028.35548
2020,44,Hydro,Grand Est,1.7,0.015260323,490068,7478.59605
2020,44,Wind,Grand Est,2,0.017953321,490068,8798.348294
2020,44,Solar,Grand Est,0.1,0.000897666,490068,439.9174147
2020,44,Non-renewablee,Grand Est,1.5,0.013464991,490068,6598.761221
2020,32,Hydro,Hauts-de-France,0,0,490068,0
2020,32,Nuclear,Hauts-de-France,7.3,0.065529623,490068,32113.97127
2020,32,Solar,Hauts-de-France,0,0,490068,0
2020,32,Non-renewablee,Hauts-de-France,2.1,0.018850987,490068,9238.265709
2020,32,Bioenergy,Hauts-de-France,0.2,0.001795332,490068,879.8348294
2020,32,Wind,Hauts-de-France,2.6,0.023339318,490068,11437.85278
2020,11,Solar,Île-de-France,0,0,490068,0
2020,11,Hydro,Île-de-France,0,0,490068,0
2020,11,Wind,Île-de-France,0.1,0.000897666,490068,439.9174147
2020,11,Bioenergy,Île-de-France,0.3,0.002692998,490068,1319.752244
2020,11,Nuclear,Île-de-France,0,0,490068,0
2020,11,Non-renewablee,Île-de-France,0.4,0.003590664,490068,1759.669659
2020,28,Wind,Normandie,0.5,0.00448833,490068,2199.587074
2020,28,Bioenergy,Normandie,0.1,0.000897666,490068,439.9174147
2020,28,Nuclear,Normandie,9.4,0.08438061,490068,41352.23698
2020,28,Non-renewablee,Normandie,0.7,0.006283662,490068,3079.421903
2020,28,Hydro,Normandie,0,0,490068,0
2020,28,Solar,Normandie,0,0,490068,0
2020,75,Wind,Nouvelle-Aquitaine,0.5,0.00448833,490068,2199.587074
2020,75,Nuclear,Nouvelle-Aquitaine,8.5,0.076301616,490068,37392.98025
2020,75,Hydro,Nouvelle-Aquitaine,0.9,0.008078995,490068,3959.256732
2020,75,Non-renewablee,Nouvelle-Aquitaine,0.2,0.001795332,490068,879.8348294
2020,75,Bioenergy,Nouvelle-Aquitaine,0.4,0.003590664,490068,1759.669659
2020,75,Solar,Nouvelle-Aquitaine,0.8,0.007181329,490068,3519.339318
2020,76,Wind,Occitanie,0.8,0.007181329,490068,3519.339318
2020,76,Bioenergy,Occitanie,0.2,0.001795332,490068,879.8348294
2020,76,Hydro,Occitanie,2.5,0.022441652,490068,10997.93537
2020,76,Non-renewablee,Occitanie,0.1,0.000897666,490068,439.9174147
2020,76,Solar,Occitanie,0.6,0.005385996,490068,2639.504488
2020,76,Nuclear,Occitanie,3.6,0.032315978,490068,15837.02693
2020,52,Solar,Pays de la Loire,0.1,0.000897666,490068,439.9174147
2020,52,Bioenergy,Pays de la Loire,0.1,0.000897666,490068,439.9174147
2020,52,Wind,Pays de la Loire,0.5,0.00448833,490068,2199.587074
2020,52,Hydro,Pays de la Loire,0,0,490068,0
